Date,Page,UserID,AccessCount
2024-01-01,Homepage,1001,15
2024-01-01,ProductPage,1001,8
2024-01-01,ContactUs,1001,3
2024-01-01,Homepage,1002,10
2024-01-01,ProductPage,1002,12
2024-01-01,ContactUs,1002,2
2024-01-02,Homepage,1001,18
2024-01-02,ProductPage,1001,9
2024-01-02,ContactUs,1001,5
2024-01-02,Homepage,1002,12
2024-01-02,ProductPage,1002,14
2024-01-02,ContactUs,1002,3
2024-01-03,Homepage,1001,20
2024-01-03,ProductPage,1001,10
2024-01-03,ContactUs,1001,4
2024-01-03,Homepage,1002,14
2024-01-03,ProductPage,1002,16
2024-01-03,ContactUs,1002,2
2024-01-04,Homepage,1001,22
2024-01-04,ProductPage,1001,11
2024-01-04,ContactUs,1001,6
2024-01-04,Homepage,1002,16
2024-01-04,ProductPage,1002,18
2024-01-04,ContactUs,1002,4
2024-01-05,Homepage,1001,25
2024-01-05,ProductPage,1001,12
2024-01-05,ContactUs,1001,7
2024-01-05,Homepage,1002,18
2024-01-05,ProductPage,1002,20
2024-01-05,ContactUs,1002,5
2024-01-06,Homepage,1001,28
2024-01-06,ProductPage,1001,13
2024-01-06,ContactUs,1001,8
2024-01-06,Homepage,1002,20
2024-01-06,ProductPage,1002,22
2024-01-06,ContactUs,1002,6
2024-01-07,Homepage,1001,30
2024-01-07,ProductPage,1001,14
2024-01-07,ContactUs,1001,9
2024-01-07,Homepage,1002,22
2024-01-07,ProductPage,1002,24
2024-01-07,ContactUs,1002,7
2024-01-08,Homepage,1001,32
2024-01-08,ProductPage,1001,15
2024-01-08,ContactUs,1001,10
2024-01-08,Homepage,1002,24
2024-01-08,ProductPage,1002,26
2024-01-08,ContactUs,1002,8
2024-01-09,Homepage,1001,35
2024-01-09,ProductPage,1001,16
2024-01-09,ContactUs,1001,11
2024-01-09,Homepage,1002,26
2024-01-09,ProductPage,1002,28
2024-01-09,ContactUs,1002,9
2024-01-10,Homepage,1001,37
2024-01-10,ProductPage,1001,17
2024-01-10,ContactUs,1001,12
2024-01-10,Homepage,1002,28
2024-01-10,ProductPage,1002,30
2024-01-10,ContactUs,1002,10
2024-02-01,Homepage,1003,40
2024-02-01,ProductPage,1003,18
2024-02-01,ContactUs,1003,13
2024-02-01,Homepage,1004,15
2024-02-01,ProductPage,1004,9
2024-02-01,ContactUs,1004,4
2024-02-02,Homepage,1003,42
2024-02-02,ProductPage,1003,19
2024-02-02,ContactUs,1003,14
2024-02-02,Homepage,1004,18
2024-02-02,ProductPage,1004,10
2024-02-02,ContactUs,1004,5
2024-02-03,Homepage,1003,45
2024-02-03,ProductPage,1003,20
2024-02-03,ContactUs,1003,15
2024-02-03,Homepage,1004,20
2024-02-03,ProductPage,1004,12
2024-02-03,ContactUs,1004,6
2024-02-04,Homepage,1003,48
2024-02-04,ProductPage,1003,21
2024-02-04,ContactUs,1003,16
2024-02-04,Homepage,1004,22
2024-02-04,ProductPage,1004,13
2024-02-04,ContactUs,1004,7
2024-02-05,Homepage,1003,50
2024-02-05,ProductPage,1003,22
2024-02-05,ContactUs,1003,17
2024-02-05,Homepage,1004,24
2024-02-05,ProductPage,1004,15
2024-02-05,ContactUs,1004,8
2024-02-06,Homepage,1003,52
2024-02-06,ProductPage,1003,23
2024-02-06,ContactUs,1003,18
2024-02-06,Homepage,1004,26
2024-02-06,ProductPage,1004,16
2024-02-06,ContactUs,1004,9
2024-02-07,Homepage,1003,55
2024-02-07,ProductPage,1003,24
2024-02-07,ContactUs,1003,19
2024-02-07,Homepage,1004,28
2024-02-07,ProductPage,1004,18
